trials,multiplications,batchsize,time
1984,1059,32,5204827477
1082,583,64,2876932538
1461,1703,256,2861814651
1364,58,8,2952505092
2247,278,32,3307153123
962,1271,64,3262365541
1601,1952,256,3003497732
2338,970,8,14239695383
1123,1083,64,3248095061
1171,1527,8,12053110305
1332,2463,8,19280896423
1040,968,32,3783654334
370,1259,64,2751794479
17,1295,8,2590958585
780,1477,64,3212398101
652,971,32,3336783944
282,1428,256,2537962465
1149,906,256,2632609144
2083,605,256,2692017921
1878,807,8,10418432984
2017,1092,64,3880681349
1369,960,32,4109571507
623,1483,32,3622216374
521,1011,256,2583343136
1294,815,32,3853497629
455,1533,64,2915782913
2088,1380,32,6164436691
1530,35,64,2520385612
1316,148,32,2753424028
531,1054,32,3177883556
231,1285,256,1905662592
254,105,32,2537351640
2430,2481,256,3469680091
1832,1439,256,2913227869
981,2487,256,2796096831
171,2447,64,2688034703
2177,1526,8,19511558550
837,1924,8,10546492563
1687,889,256,2708475777
913,2222,256,2759384109
195,2123,64,2775411688
203,1741,8,4265555024
1651,327,256,2591251263
835,437,8,4340046834
778,796,8,5877903469
749,2295,8,11757151336
2341,614,8,10116326781
1779,560,8,7916898386
1301,1954,32,5794480326
485,2347,8,8290425506
840,1798,8,10575178485
1072,1128,32,4030497397
2094,871,64,3691371812
280,1601,256,2554714912
1501,1033,64,3488188848
892,1233,8,8336486011
2429,1402,32,6805831591
2152,690,256,2723865623
103,1332,8,3130211473
409,1434,64,2842192550
1025,992,256,2653469893
645,1553,64,3149202883
466,1783,64,3011447377
11,456,8,2506936962
1300,2158,8,17033320044
265,1438,256,2553009598
1538,1325,64,3815862290
1870,1564,64,4518690651
1273,1871,64,3973903049
1071,1808,64,3762009405
1067,362,8,4540820697
1056,1329,256,2725118018
182,2140,256,1903197657
1393,2237,64,4486251401
2142,1545,32,6603536490
512,38,64,2509887286
1633,1152,8,12144468808
298,1653,256,2559424130
900,1365,256,2662157119
390,1360,8,5353743861
1243,471,64,2856823385
174,605,64,2540030075
1183,924,256,2645430540
408,1857,256,2573471883
237,1022,256,1903229457
1685,2480,8,24669911227
468,1678,64,2973031206
1553,1433,64,3913463561
2389,1474,32,7256361033
1038,842,64,3042097828
266,1316,64,2725283268
1278,2289,8,17713853820
91,287,256,1910513966
931,2274,8,13375558786
1445,406,32,3232670781
1099,1717,64,3720464756
848,2306,8,12733973177
1499,1214,256,2737842884
1285,819,256,2663411627
438,2004,256,2561192110
2368,601,256,2715608522
2094,52,64,2570803256
1956,1741,32,6817585470
1600,1929,8,18659112462
49,2400,32,2577670454
850,1832,256,2711234973
939,1506,8,9590693575
338,1887,256,2574788949
2178,1230,256,2912329727
1456,1911,8,16712033049
553,94,256,2493385297
1116,150,64,2605133677
667,508,32,2892865852
1884,830,8,10435466806
884,971,64,3017700085
1933,2269,32,8081394372
1840,2229,256,3152194304
2457,1986,8,29270183953
76,1122,256,1909455996
1980,1247,64,4087467850
1028,2398,64,4044952153
1491,410,32,3268422943
969,2498,64,4037723578
651,2110,32,4230824775
2298,2316,8,30502630094
1502,1517,64,3912838150
549,265,32,2651931121
1163,1499,256,2772222066
482,2403,64,3198624381
1371,273,64,2727459762
1539,1572,8,14968016967
866,981,256,2617856599
1653,307,256,2551313122
1940,1819,64,4743788259
767,949,256,2563325014
1960,685,256,2687669338
709,2077,256,2657810450
249,554,64,2549471033
995,478,64,2784869237
2254,121,64,2673376205
1840,1317,8,15096527504
290,1952,256,2574749334
755,1830,8,9661118359
427,1520,8,5760451911
1765,2411,8,24191106803
876,1068,8,7279334338
1642,143,64,2631198010
2429,441,32,3838818294
2137,2325,32,8755952398
2366,2,256,2478376464
1478,1623,64,4058778171
220,1103,256,1899072252
1174,1680,8,12950972702
1355,496,256,2594393227
68,1857,8,3105913578
1191,1773,256,2807204739
1848,72,64,2581921244
683,700,8,5108968639
1051,1534,256,2747572102
908,2483,32,5484693284
2092,732,64,3450381737
1265,173,32,2784174617
2048,2499,256,3337305019
181,1404,8,3735239170
2326,2167,8,28387212499
1831,180,64,2710618229
267,1641,32,3034282344
159,2489,256,1914127512
2432,610,32,4468781009
1855,642,8,9018569547
1506,2498,64,4938616278
2384,1297,64,4489796168
288,172,32,2554982173
975,1179,8,8295221296
1251,2448,8,17951943904
179,2273,32,2940235098
210,1168,64,2635455933
699,319,32,2772982691
2070,552,32,3969929238
2183,766,64,3577231022
731,1998,32,4243766617
1384,69,32,2629121271
833,504,32,3050473951
962,423,8,4551954835
414,869,256,2530440109
2460,2457,64,6523911488
1580,632,32,3784392596
2019,616,256,2670366931
1937,735,256,2737660172
794,1887,64,3443879301
359,1347,256,2544146203
32,1413,8,2706441809
1641,19,64,2517956144
403,727,256,2530161497
1001,1612,64,3475656421
2387,250,64,2898608164
2371,2217,64,6015391715
2371,1391,64,4656949409
802,958,256,2622933446
2474,855,256,2844475706
1997,1688,256,3008108064
2381,2264,64,5955284449
1586,805,32,4170397670
1500,19,32,2572502788
1284,1051,8,9479451312
2254,1900,8,24480105942
1638,304,8,5288458260
1338,2450,64,4673045187
540,2444,8,9233571202
1305,767,32,3825232515
1325,467,32,3297085472
667,2001,32,4168946192
1513,1458,256,2807247970
617,616,256,2549834594
1440,744,8,8043006643
657,334,64,2621757804
1499,1682,64,4089161031
1883,557,32,3819419992
1146,150,32,2715622438
1307,2388,32,6478137219
1061,113,8,3153522541
502,14,256,2488186242
1620,2042,64,4646793703
469,806,32,2956166187
1332,1922,256,2922750329
183,1192,32,2723444043
67,940,8,2813476271
1664,1901,8,19347923376
960,15,8,2603302057
2362,1660,256,3137230305
424,1197,32,3128503295
1296,1057,64,3350206627
557,2306,64,3240206631
1686,1395,256,2849383665
1170,1682,256,2795921782
2409,2454,256,3440347648
1948,1380,32,5851857420
20,854,8,2558483127
1833,767,64,3381589198
481,1662,8,6583994089
2087,2274,32,8807339155
2229,383,8,6848141824
2084,2105,64,5274035965
485,660,256,2503148227
1178,1068,8,9101981311
775,931,8,6168309421
196,2292,8,4885378705
1359,1011,8,9482447593
752,98,8,2875190307
314,1744,32,3176567201
2303,654,64,3453742409
1546,836,256,2703651203
2308,1936,64,5402010558
54,754,256,1896168015
202,1604,64,2684051043
351,2064,256,2562667923
274,2380,8,6001561028
319,458,32,2658660952
1697,1672,8,17199674309
382,1751,32,3264349918
1463,1247,64,3625177659
1392,1049,256,2710954718
956,1601,256,2711965561
2087,976,8,12973524107
1225,2184,64,4213169116
1229,3,64,2491211236
975,1856,256,2744834145
1841,744,8,9704653285
2288,871,256,2777827422
1231,2353,32,6151409137
1706,2254,8,21811656299
957,2480,8,14643639334
470,2369,256,2586313976
220,1563,32,2881433151
286,524,256,2500808402
253,532,32,2663202399
984,1610,32,4437388715
1962,1369,256,2898148932
1208,451,8,5329395466
1351,1672,8,13843904933
62,260,64,1892144049
1935,1910,8,21238248342
959,1891,8,12003610415
599,579,64,2700611258
325,1148,8,4361432448
1123,1740,32,5014316427
1128,2220,8,15098236907
528,537,64,2666961996
83,475,8,2692912535
789,2487,64,3690135137
984,1409,32,4232300065
160,1602,8,3902768962
370,218,64,2539476297
76,2192,64,2598326733
1283,1826,256,2902172183
474,1075,64,2810856993
329,1069,32,2916481981
564,1788,256,2641759108
1705,826,32,4272138000
840,586,64,2806587150
2248,2372,32,9332073965
1235,1156,256,2681168351
429,1770,256,2552055956
1481,1855,32,6005760151
484,946,256,2534132864
518,720,256,2535240288
443,678,8,4038885026
753,391,8,4012468566
2022,1697,8,20176266734
170,1439,64,2606086469
253,1664,32,2956779587
793,1572,32,4071666744
2243,1256,32,6112116758
887,2137,64,3643048022
1430,2470,8,20486314443
49,2390,32,2582892811
1322,2141,256,2974145907
1561,1763,256,2932372687
1906,642,256,2693188822
163,699,32,2626273859
1684,308,256,2560641588
1385,161,256,2527062449
1149,1202,8,9627556390
3,714,8,1899177456
796,1956,256,2743638863
1899,258,32,3131437330
2101,1618,64,4647514383
142,840,64,2566097421
1290,1833,8,15502564356
1927,1951,64,4926692006
1252,1938,256,2828467069
1823,1827,256,3049253545
1479,318,256,2562141045
1737,891,8,10400610795
1341,671,32,3606908329
1569,189,64,2666852041
2037,790,64,3531573073
1528,1771,256,2858144305
2370,1560,32,7217091799
132,1856,8,3717222454
364,1424,32,3122724612
1062,1055,8,8433006857
1045,2085,256,2840575627
2441,2165,8,29681730158
2115,710,32,4414515698
1478,1318,32,4937921196
273,1601,64,2757631757
2468,268,8,5923938543
1552,1352,8,13444421973
357,872,32,2873907553
1543,497,32,3473030123
1719,1993,256,2997817448
1974,1065,64,3786493417
587,1133,8,5967412414
950,1845,64,3551133190
1222,113,32,2684282640
698,2302,256,2687989399
440,332,64,2591162962
848,2453,32,5079887524
1857,2104,64,5035169222
129,60,256,1901222765
1603,1389,32,5387016621
2215,468,32,3843722658
464,289,8,3208318791
877,1306,32,4009715733
1997,2189,64,5371365552
767,1922,32,4329060307
2374,779,8,12176646013
813,2001,8,10840908791
1522,834,256,2681233292
1552,517,64,3005763784
947,1663,64,3476883667
1483,497,8,6394370949
1133,1150,8,9296351033
1913,273,8,5410349279
428,182,256,2502079671
638,1192,32,3440371577
1195,597,32,3421222060
219,732,256,1895809871
737,1530,256,2612779769
2369,2211,32,9638617395
2171,25,256,2501592439
793,1284,64,3135595374
887,2287,256,2780751107
1806,2163,8,22125576206
2168,691,64,3455348994
671,409,64,2666212683
485,1511,8,6175035389
1623,1595,256,2900585905
1499,456,32,3377125212
2214,2363,8,29289154067
1181,2169,256,2880232833
2091,2143,32,8113540986
1077,1165,64,3249545787
2339,834,64,3741035942
1984,269,32,3204339632
1613,1504,8,14923374099
1625,307,8,5064054735
1110,1178,64,3313599773
1672,390,32,3349717836
697,810,256,2545637149
874,56,64,2520476941
277,1334,32,2915287945
399,1635,256,2559562698
143,1136,256,1909435048
1153,1973,64,3967205865
405,304,8,3127860055
563,782,8,4723065132
2017,1808,8,21095538885
1048,1569,64,3587931114
1862,501,256,2627484315
550,863,64,2767788110
1086,1444,32,4494314778
1919,207,32,3012899572
767,2281,256,2696374025
1031,50,256,2498360369
1150,1135,32,4117203347
2066,986,256,2818788862
1777,1557,256,2878883237
308,8,256,2490658722
233,1987,32,3083432177
2351,1881,256,3221074048
186,1193,256,1898759473
2280,1385,256,2970272285
1362,388,8,5261124804
63,2034,64,1898151966
2090,1008,64,3831036761
1623,1767,8,17281120763
1711,1800,64,4401978408
1139,532,32,3241312524
2130,1447,256,2980551908
1964,837,64,3519221291
437,1367,64,2838586592
203,1874,64,2722701028
675,477,32,2902534993
717,1185,256,2587315351
368,2003,32,3393345946
586,654,64,2735639899
1776,467,256,2600465708
1461,1464,256,2785391874
1090,535,256,2588808746
576,2020,256,2650531038
2192,2011,64,5307596929
511,1042,256,2519377452
2379,163,64,2766265170
1793,542,32,3739915365
322,163,8,2776375527
918,2028,256,2735353844
1245,335,32,3020206670
1332,2128,8,17185367506
13,930,8,2537429856
1979,857,64,3548424519
366,1875,8192,1935346839
1161,1520,512,2658821553
433,2321,4096,1929142605
1387,747,2048,1916096770
777,1946,512,2598862016
610,757,512,2547741026
244,2317,4096,1917436258
1210,1387,4096,1917169570
804,1519,1024,1927588405
2287,801,512,2658440681
1813,1864,2048,1916651590
1222,862,2048,1917334498
994,2149,1024,1930918460
1372,784,512,2590006907
1803,627,2048,1924502088
1570,1558,2048,1939129554
775,490,8192,1933325276
256,1434,4096,1943756986
1622,1420,4096,1939888424
317,2348,8192,1935766777
1271,1728,512,2690266976
2171,1016,8192,1935291717
469,1020,512,1928452573
1582,1075,4096,1924919439
1312,2398,8192,1924488462
816,2282,4096,1915865408
322,2392,8192,1923061581
224,29,4096,1925108352
643,999,512,2566548349
713,483,512,2560485097
917,727,4096,1925877954
505,232,2048,1937574101
2265,1029,1024,2651006251
1539,441,4096,1947396341
2123,649,8192,1940203494
2280,2338,4096,1933997465
905,2387,512,2619528899
1236,1374,512,2646909010
80,60,2048,1931403779
2230,705,2048,2557367188
2048,1220,512,2742536697
1214,778,8192,1945474673
1482,95,8192,1945714280
612,1458,2048,1939140313
777,840,8192,1933700038
2430,1580,4096,1942159666
980,2472,8192,1938055793
174,2457,2048,1945866577
95,1266,512,1950666893
680,64,4096,1937553492
606,2084,2048,1937309485
146,1679,1024,1939157836
1259,63,512,2545100001
180,1000,4096,1934543076
737,1342,512,2608844916
79,1261,1024,1935502081
2189,2300,8192,1928470287
923,1088,4096,1937579942
2481,750,4096,1937090065
1806,1230,4096,1938488923
779,1532,1024,1936027345
1272,1847,4096,1933800696
755,1862,8192,1926608942
2225,1562,2048,2679634781
1444,1547,4096,1928473052
241,1024,512,1924600812
2043,2441,8192,1935510157
1206,638,512,2587364460
2430,326,512,2590745831
1158,513,4096,1938230891
1494,2458,8192,1935767779
1920,1244,1024,2591677755
1843,2090,512,2839674720
653,1931,1024,1947950628
1022,2339,1024,1934785530
1554,1728,4096,1952382255
1774,2249,512,2833574969
120,1436,512,1929068797
2114,206,512,2582501876
1492,78,512,2546284550
1221,144,8192,1936918143
2386,1169,4096,1931296628
1836,138,512,2544603653
1138,790,1024,2577956837
744,2180,1024,1946918375
2350,468,4096,1937077591
97,2351,8192,1936168890
2383,8,1024,2542889694
382,1261,4096,1981150566
812,2442,4096,1926886752
2410,1125,8192,1945247748
2225,2267,512,2942995730
1337,762,512,2618961176
1357,1213,2048,1933812268
571,1103,2048,1935759443
1348,1355,1024,2597402534
1159,1047,4096,1938865509
323,1388,8192,1938567991
153,102,512,1941464845
2256,2007,4096,1940441729
1218,119,512,2559293124
1157,2315,1024,2663089925
1811,136,2048,1949019980
1145,1968,2048,1927593946
1925,1475,512,2728583152
1805,1080,512,2665674613
1387,745,512,2594380596
779,1124,1024,1932167348
1401,1772,2048,1940274727
1232,432,2048,1938604149
2354,344,2048,2548807523
37,2033,1024,1942950947
1790,2062,2048,1933304538
1599,600,8192,1931642766
277,2206,8192,1949273174
188,1939,512,1943309259
1738,1686,1024,2642419735
411,1800,4096,1933118880
2358,1638,4096,1936833855
2322,1921,4096,1947067304
1519,724,512,2610958142
1314,531,8192,1951839569
1328,1851,512,2722141943
1249,1460,2048,1936496924
2038,2066,8192,1936829537
1719,546,2048,1929740394
778,340,1024,1941125450
499,1128,8192,1948846896
2235,97,8192,1945369756
152,110,8192,1952643795
2156,878,8192,1947498461
2273,1811,4096,1948771765
661,1587,1024,1943645307
1621,2299,2048,1952570467
2278,1341,2048,2653431382
1363,69,2048,1931183066
1005,147,1024,1960416537
2370,2418,512,2945403867
1804,1923,4096,1965044892
792,1952,2048,1951693565
377,533,2048,1929025806
1104,1052,2048,1943040345
1094,628,512,2609473523
1900,2355,2048,1945783591
1169,1198,2048,1938357548
1541,902,2048,1947031447
1037,1787,2048,1946056832
1267,1430,1024,2607914404
536,1968,1024,1952604130
2034,1736,8192,1932203877
283,103,1024,1953147978
2321,282,2048,2570189114
1105,1244,8192,1957780412
300,2026,2048,1931846157
931,2486,1024,1950354719
2048,1616,1024,2753195452
620,1041,512,2593170101
1949,1385,1024,2608190952
209,365,2048,1934066143
1348,784,2048,1935700524
1527,1347,512,2651694781
979,1582,8192,1945502584
68,457,8192,1943066394
1364,634,4096,1942707492
967,1812,8192,1949929463
2327,1546,2048,2702093077
1595,66,4096,1957092574
1478,1316,1024,2614902998
31,403,4096,1951500243
966,2164,512,2642635299
1392,1021,2048,1946325195
1465,179,512,2570561170
699,253,1024,1932603485
2228,1803,4096,1963223883
1985,1116,8192,1930105448
501,168,1024,1947330738
60,2270,2048,1959639963
720,1916,1024,1940853040
375,1013,4096,1937753487
1151,847,1024,2577965292
1287,473,512,2594916499
283,1403,1024,1928481528
2480,2160,8192,1950740352
337,346,4096,1959323710
785,2287,2048,1954633149
421,638,4096,1963352775
1481,629,8192,1955111525
1768,292,512,2575150353
83,2103,8192,1941284037
1053,1258,2048,1944189577
1646,2159,2048,1968953800
2378,338,8192,1938985454
338,953,512,1934190556
2035,2207,512,2817632882
61,528,2048,1947337440
1053,526,512,2586908987
1227,545,1024,2589133983
1852,1593,1024,2611995435
90,941,512,1940987893
2364,1502,8192,1941642878
1244,1311,4096,1952077494
470,1762,2048,1938138077
414,1184,4096,1939841376
596,771,512,2586888890
2416,725,2048,2593810568
2326,686,4096,1951614768
1569,1865,8192,1939673852
656,1521,1024,1939267732
617,1110,2048,1937241528
1449,1607,2048,1938395870
1932,2490,512,2878674907
1501,1988,1024,2657287591
2494,2343,4096,1942917504
1649,368,2048,1945438535
2371,1009,1024,2674912129
936,934,2048,1935117181
2241,1581,512,2832739285
211,2203,1024,1945479311
1169,1153,4096,1949580339
214,519,2048,1939817090
467,2393,512,1937053686
424,2148,4096,1944672321
1423,288,512,2561908280
1226,135,2048,1951302474
50,1600,8192,1933222103
1681,1819,2048,1940998001
116,1753,4096,1944607579
1562,1042,4096,1936020582
1020,1047,2048,1954556626
181,1772,8192,1939626664
42,1508,8192,1954817795
2175,2114,2048,2806493407
1067,1045,1024,2598695714
301,226,512,1949242828
2467,1216,8192,1956844068
1490,1055,2048,1955222843
392,1940,1024,1961869497
1577,2408,1024,2682759390
1259,507,512,2595121873
2081,1862,1024,2807968135
1568,274,512,2606461505
2221,1201,512,2742652619
327,250,4096,1933915646
346,941,1024,1939847340
2432,299,2048,2548139706
1522,863,4096,1957136509
1718,548,1024,2572747927
1133,308,4096,1942927948
2381,143,4096,1950622924
1586,1741,4096,1947345879
2112,2113,2048,2769349340
1914,1730,2048,1939565162
1214,2239,1024,2724414624
1914,2223,4096,1947759914
1821,120,1024,2542226024
270,387,4096,1960470150
371,1643,1024,1953904388
2285,1088,2048,2618915642
1587,756,2048,1961822752
480,1376,512,1951191079
190,2422,2048,1939567266
72,171,2048,1957772810
408,1211,4096,1936247502
1283,1488,512,2700479914
406,20,1024,1956670858
254,2448,512,1943899396
2446,860,1024,2642687326
566,738,8192,1951789078
38,374,2048,1957265390
192,549,8192,1935954863
1371,1149,8192,1946585145
1995,1172,4096,1937506178
1155,559,4096,1960189104
2233,900,512,2710330917
777,44,8192,1949017439
1184,2245,512,2758747402
1094,1624,2048,1968963111
2191,1903,4096,1957428435
704,268,8192,1936474866
861,1841,4096,1957395364
1007,2442,1024,1939391788
2376,128,512,2566943400
1623,587,2048,1947700914
556,1393,1024,1958270081
698,1399,4096,1935483301
420,1909,512,1944230087
933,1922,8192,1957222581
944,1220,512,2611004299
22,234,8192,1944273968
198,932,8192,1940773565
1271,855,8192,1940689767
997,1141,4096,1936845290
1042,936,8192,1942281738
1486,973,1024,2580363895
2493,645,512,2668472331
1872,1015,2048,1938577253
284,1847,1024,1962270751
206,1772,4096,1937150872
1043,2071,512,2715050614
279,1619,4096,1962334290
882,1263,8192,1942774270
138,555,1024,1930850076
2496,1715,8192,1940112076
1242,2187,4096,1938740208
1066,1796,512,2703724529
2042,285,2048,1949547291
1393,201,4096,1965914073
1882,1397,512,2749400102
818,1824,512,2647008015
1584,575,512,2615588482
478,35,8192,1945139068
2474,1300,4096,1942292799
2278,272,4096,1949898949
9,1993,4096,1951686736
2216,2082,4096,1941773326
1969,207,4096,1946442608
1843,1918,1024,2675242846
832,1445,2048,1947328777
1287,990,512,2626673596
909,2285,2048,1950105656
2022,1546,4096,1938422753
484,1393,2048,1938687128
1242,1409,8192,1939452551
1099,339,1024,2554837285
351,821,2048,1948662154
1676,1107,1024,2600915281
980,450,8192,1934179980
1442,1451,512,2673676243
1244,403,512,2576409031
1064,478,4096,1941358550
449,421,512,1932853778
2432,1714,2048,2717195810
622,986,512,2581994128
1727,655,4096,1956095801
1106,226,8192,1963816084
191,2208,2048,1934415411
2315,1297,2048,2663840288
1872,1996,512,2808831880
1800,2059,512,2810137664
56,1214,8192,1947939480
2180,2417,8192,1946248615
563,261,512,2542475871
1386,509,2048,1965964336
1708,249,512,2578185898
994,834,1024,1962377141
37,1765,1024,1954863323
1145,2418,4096,1933933849
1213,2207,2048,1950134520
1070,1720,8192,1953861007
1711,1003,2048,1942370213
480,2159,1024,1946669021
1430,2358,4096,1933576130
875,748,8192,1953594337
1760,2318,1024,2694604304
1768,682,512,2653814668
1631,2135,512,2820701341
1718,548,2048,1934377681
1351,459,4096,1940502758
1961,1078,2048,1955872913
2238,2132,4096,1930841419
711,1012,512,2576041283
2102,787,2048,2581554223
2003,309,512,2603538983
740,261,8192,1939395505
215,27,512,1956858118
1388,241,512,2558122526
2166,1628,512,2837695938
1234,2040,4096,1938881903
872,1075,4096,1942398057
128,191,2048,1951551042
1966,920,2048,1933428583
592,2497,2048,1938151697
610,794,512,2588964728
1079,1173,4096,1936364911
2073,75,8192,1938552095
777,2261,4096,1961259589
1194,1291,1024,2600803852
922,2051,512,2620288652
37,168,512,1949409793
2416,2142,2048,2783343952
1028,1698,1024,2619066334
511,1455,8192,1931082831
1642,159,2048,1944500582
1881,2355,1024,2680929593
244,2162,2048,1947462207
682,751,512,2572049429
1316,1566,512,2682764828
1152,581,1024,2569009067
968,2206,2048,1933974756
1935,1589,8192,1938343456
2363,2046,2048,2772650682
1862,1660,4096,1941111017
179,627,1024,1955838770
192,1827,8192,1939975640
676,1475,1024,1930685538
1842,768,4096,1943258507
2410,1795,512,2859974668
726,759,8192,1932515625
1353,2197,2048,1943200067
1896,3,512,2558574913
1780,1016,4096,1930198496
106,596,8192,1944563931
208,1334,2048,1939173679
737,1164,4096,1959851101
1304,1150,8192,1936939848
2029,1960,1024,2661195538
253,1976,8192,1936632472
490,1733,512,1940069456
443,1103,8192,1946885688
807,267,4096,1947836047
1457,2103,1024,2666055676
1002,1981,1024,1948656232
1335,2357,4096,1948259831
508,699,4096,1947814356
421,1742,512,1938736851
476,949,512,1956115407
1702,540,512,2606305283
1676,1607,512,2743009007
659,2328,4096,1946101759
2163,2378,8192,1945512016
1871,711,1024,2578683448
178,415,512,1937540051
1889,1629,512,2751426135
783,918,512,2597233548
689,313,4096,1942330700
743,1414,512,2612998052
174,2148,8192,1932201246
1000,2258,1024,1945986094
1001,1448,2048,1943894117
1368,20,8192,1936971658
1152,574,8192,1933102753
258,50,1024,1949533194
315,1350,4096,1943513575
1430,2085,8192,1962354388
1333,1252,2048,1938105820
319,1216,1024,1954994038
988,31,8192,1941741988
2429,856,1024,2629983022
662,2439,1024,1946022742
1186,1117,1024,2592026911
365,1511,2048,1947550012
962,1288,4096,1943119286
55,1925,4096,1944372152
234,815,512,1946368479
394,140,4096,1937802282
414,973,8192,1955111548
99,1011,4096,1945554376
1477,1441,2048,1932643173
1583,1090,4096,1959538396
1474,1120,4096,1944144727
978,2324,4096,1931683266
526,887,4096,1940535258
615,693,4096,1937972901
45,2326,8192,1936729554
1142,2287,2048,1937390541
2104,1881,4096,1939515149
2026,1025,2048,1933842388
749,1901,1024,1934824688
153,198,2048,1940860638
2254,859,1024,2633407373
941,760,512,2573739714
720,1651,2048,1933130045
2044,1584,2048,1959406809
2236,790,4096,1935211261
937,2411,4096,1952473229
1944,1527,4096,1946906987
2015,77,4096,1935332348
255,253,512,1940052485
835,2103,512,2640857320
1719,1802,2048,1946040866
2095,1829,1024,2786155465
1698,161,1024,2546187972
1452,1078,8192,1954645936
2127,1063,4096,1935397350
1979,870,2048,1937125534
1928,1973,1024,2642445052
2389,2094,4096,1931974441
767,231,8192,1940480796
1152,144,2048,1948173309
41,2400,4096,1948320994
833,2064,1024,1938611437
1899,1649,4096,1943001035
1166,211,512,2584821070
630,1051,1024,1949558391
2273,451,4096,1945400617
1705,1476,1024,2632669500
1698,1372,2048,1934294635
991,1411,4096,1953410443
210,693,2048,1940947901
769,206,4096,1940861760
47,1346,512,1939041683
1586,2250,8192,1937748441
1056,147,1024,2547141397
976,1223,8192,1945913247
219,2355,8192,1959563894
281,807,8192,1939378563
2293,323,1024,2575369645
207,752,8192,1945803191
1130,1401,1024,2624817861
1097,1994,2048,1936206745
1704,81,512,2558218695
710,329,1024,1947677490
71,2135,512,1963927744
271,237,2048,1928919562
1083,1473,2048,1960843429
2323,392,8192,1938829204
2476,882,512,2699371610
350,1222,512,1939283304
1802,717,512,2635885121
1723,690,1024,2581143044
1407,1856,8192,1934118946
1345,1366,512,2677591964
422,182,4096,1940370941
810,1234,4096,1941503200
1317,360,8192,1958479423
1145,2038,1024,2662017436
1076,570,2048,1946447317
566,849,512,2584472207
291,156,512,1957522843
574,416,2048,1941101098
2074,2343,8192,1934220466
2078,529,8192,1936728151
1630,2127,8192,1965167855
960,2169,512,2643944600
1774,806,512,2666172384
445,1794,2048,1938366618
854,1887,2048,1948486044
2283,992,512,2717913223
687,1591,4096,1949911643
477,2336,4096,1935629975
1003,1377,512,2618205332
10,819,2048,1956803676
733,555,2048,1959744571
2327,2162,2048,2796804162
1919,525,8192,1985208014
1345,1172,8192,1960167474
285,1490,8192,1954735735
157,1560,1024,2001773638
534,557,512,2630021473
1464,236,2048,1984402065
1688,2280,8192,1965083258
628,1851,512,2665775963
371,124,8192,1984364265
2028,1062,512,2731692209
1762,1662,2048,1996374680
1415,1691,2048,1978310030
583,658,4096,1998122903
1980,1247,4096,1978557012
1247,1802,1024,2689564560
2153,462,2048,2616807824
1714,1895,8192,1970696716
1784,179,512,2606374823
403,1812,8192,1974143099
1943,1834,1024,2684151785
1159,1296,8192,1983370073
356,154,8192,1968602505
219,930,2048,1959618055
154,1078,4096,1981924647
525,2157,4096,1965233077
245,463,8192,1969984953
1201,2113,4096,1966116912
64,1885,512,1950266838
581,1530,2048,1977928165
512,771,8192,1976996511
2251,1941,2048,2822191461
1277,933,1024,2661622016
968,2261,4096,1969841074
279,1766,8192,1974387546
2204,890,2048,2642883563
218,1715,4096,1973594010
1604,1292,1024,2632272348
254,506,8192,1978771253
1505,2449,8192,1976655092
110,1883,8192,1979765244
1348,1758,2048,1978239989
907,1096,1024,1962564561
2126,2075,4096,1980378161
1297,949,1024,2608679477
1938,982,1024,2630825529
2201,1366,2048,2697076022
2048,34,512,2580307379
1771,61,8192,1967893959
1289,982,1024,2635470485
2450,1439,2048,2738438760
2347,1059,4096,1964716119
2064,1909,512,2949560068
338,1479,512,1972692152
2199,9,512,2571407538
2086,2359,4096,1959691863
1293,1389,2048,1962531740
968,1321,1024,1973788675
1966,8,4096,1971268577
771,684,4096,1956174358
501,500,8192,1949687714
123,662,8192,1956353393
304,825,2048,1970018196
83,738,8192,1987670694
1721,196,4096,1953445589
180,1115,2048,1965802263
774,484,2048,1982266197
1791,1954,512,2842716327
698,441,1024,1977372524
2493,1660,4096,1965151675
379,43,1024,1960318346
666,1637,2048,1968183581
2162,2010,4096,1972028459
898,24,512,2587838679
2470,1279,2048,2714463334
807,1109,1024,1978356176
1077,645,4096,1962585090
1598,2056,8192,1948705564
733,1369,512,2655154096
407,1220,512,1976349699
561,1091,8192,1970369454
2062,570,4096,1986656777
210,1269,8192,1979814085
1506,1145,8192,1983461464
394,1229,1024,1970226677
994,97,512,2593131659
793,1176,512,2641530670
1997,1089,2048,1960945961
258,1534,8192,1981805053
1613,1320,1024,2660051234
430,105,512,1964076251
2216,856,512,2747504353
2464,1787,2048,2773349259
2495,2349,1024,2904955901
1255,2483,512,2812359313
623,400,512,2601221535
1451,160,1024,2608757042
385,2487,8192,1968667918
2319,1469,4096,1985012218
385,158,1024,1976041031
1667,1740,2048,1972842894
973,1027,2048,1987140772
1128,2108,1024,2699497305
122,46,2048,1985729431
952,1273,2048,1984434536
987,1981,4096,1957921068
34,1546,8192,1955342981
1257,515,8192,1955415026
2135,1817,2048,2778099473
1045,2156,8192,1990455057
1970,565,2048,1982451804
147,2403,512,1974406933
1191,86,1024,2589954541
1518,845,8192,1957685537
651,311,512,2594877608
1134,947,512,2675938428
1146,2054,4096,1971520649
7,1447,4096,1967500622
1007,69,4096,1952442441
817,2205,8192,1962261193
1482,2180,4096,1967003953
